gạo nếp,cereal,346,8.4,1.6,74.9,0.5
gạo tẻ,cereal,344,7.9,1.0,75.9,0.4
ngô,cereal,196,4.1,2.3,39.6,1.2
bánh mỳ,cereal,249,7.9,0.8,52.6,0.2
phở,cereal,143,3.2,0.4,31.7,0.0
bún,cereal,110,1.7,0.0,25.7,0.5
mỳ,cereal,349,11.0,0.9,74.2,0.3
